player,team,macth_up,game_date,w_l,min,pts,fgm,fga,fg_p,pm_3,pa_3,p_3,ftm,fta,ft+p,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_min
KELSEY PLUM,LVA,LVA vs. PHO,8/17/22,W,35,22,6,13,46.2,2,7,28.6,8,8,100,1,4,5,4,1,0,2,3,14
CANDACE PARKER,CHI,CHI vs. NYL,8/17/22,L,30,17,6,13,46.2,1,3,33.3,4,4,100,3,7,10,5,1,1,2,2,-10
NATASHA HOWARD,NYL,NYL @ CHI,8/17/22,W,34,22,9,17,52.9,1,4,25,3,3,100,0,7,7,3,1,0,2,3,12
KAHLEAH COPPER,CHI,CHI vs. NYL,8/17/22,L,31,21,7,14,50,1,3,33.3,6,9,66.7,3,5,8,1,0,1,4,0,-10
BETNIJAH LANEY,NYL,NYL @ CHI,8/17/22,W,27,17,6,13,46.2,1,2,50,4,5,80,1,4,5,5,1,1,2,1,12
ALLIE QUIGLEY,CHI,CHI vs. NYL,8/17/22,L,31,18,7,14,50,2,7,28.6,2,3,66.7,0,5,5,2,1,1,1,1,-8
AZURÁ STEVENS,CHI,CHI vs. NYL,8/17/22,L,24,16,6,8,75,2,3,66.7,2,2,100,1,3,4,0,2,1,0,2,-4
STEFANIE DOLSON,NYL,NYL @ CHI,8/17/22,W,32,13,5,11,45.5,3,4,75,0,0,0,3,4,7,3,0,1,1,3,10
COURTNEY VANDERSLOOT,CHI,CHI vs. NYL,8/17/22,L,31,13,6,13,46.2,1,4,25,0,1,0,0,3,3,10,0,0,1,3,-8
MARINE JOHANNES,NYL,NYL @ CHI,8/17/22,W,27,8,3,5,60,1,3,33.3,1,1,100,0,2,2,7,2,0,1,2,3
EMMA MEESSEMAN,CHI,CHI vs. NYL,8/17/22,L,26,4,2,7,28.6,0,3,0,0,0,0,1,3,4,0,0,2,1,0,0
SAMI WHITCOMB,NYL,NYL @ CHI,8/17/22,W,12,3,1,2,50,1,2,50,0,0,0,0,0,0,1,2,0,0,0,-9
REBECCA ALLEN,NYL,NYL @ CHI,8/17/22,W,11,4,2,5,40,0,1,0,0,0,0,1,0,1,1,0,1,0,2,-1
HAN XU,NYL,NYL @ CHI,8/17/22,W,5,4,1,4,25,0,0,0,2,2,100,0,2,2,1,0,0,0,1,-2
REBEKAH GARDNER,CHI,CHI vs. NYL,8/17/22,L,17,2,0,1,0,0,0,0,2,3,66.7,0,3,3,2,0,0,0,3,4
CRYSTAL DANGERFIELD,NYL,NYL @ CHI,8/17/22,W,11,3,1,4,25,1,2,50,0,0,0,0,1,1,1,0,0,1,1,7
MICHAELA ONYENWERE,NYL,NYL @ CHI,8/17/22,W,4,2,1,2,50,0,1,0,0,0,0,1,1,2,0,0,0,0,0,-3
